"country","Date","flu_cases","dengue_cases","life_expectancy"
Canada,"2006-01-15","2223",,
Argentina,"2015-02-15","80","0.043",
Peru,"2015-06-21","159",,
Poland,"2014-10-19","34",,
France,"2011-01-02","490",,
Poland,"2010-08-08","7",,
Romania,"2009-05-17","650",,
South Africa,"2003-03-30",NA,,
Switzerland,"2005-11-06","35",,
Australia,"2003-12-28",NA,,
Poland,"2003-09-21",NA,,
Japan,"2009-07-26","42",,
Argentina,"2007-10-21","171","0.034",
Paraguay,"2003-04-27",NA,,
Hungary,"2012-08-26","25",,
Austria,"2013-03-31","1034",,
Japan,"2013-01-13","2182",,
Poland,"2006-05-07","32",,
Hungary,"2005-01-16","60",,
Netherlands,"2010-07-11","11",,
Bulgaria,"2008-08-17","293",,
France,"2014-08-03","2",,
Romania,"2003-08-31","500",,
Austria,"2006-03-05","909",,
Switzerland,"2012-12-02","49",,
Australia,"2009-12-20","72",,
Japan,"2003-12-21","101",,
Norway,"2006-01-29","60",,
Paraguay,"2011-09-04","194",,
Austria,"2006-11-19","845",,
Ukraine,"2011-09-11","381",,
Uruguay,"2006-04-09","88",,
Chile,"2003-10-12","1",,
Netherlands,"2004-11-14","24",,
Sweden,"2011-10-02","2",,
Brazil,"2011-03-27","180","0.458",
Mexico,"2008-04-13","1001","0.078",
Australia,"2006-09-17","457",,
United States,"2006-08-13","717",,
Hungary,"2009-07-05","38",,
New Zealand,"2007-07-29","74",,
Romania,"2003-03-09","824",,
Canada,"2003-02-23",NA,,
Spain,"2006-10-22","35",,
Austria,"2012-07-08","418",,
Switzerland,"2011-04-10","12",,
Bolivia,"2008-11-30","247","0.031",
Germany,"2012-11-25","836",,
Netherlands,"2007-12-02","38",,
United States,"2011-01-23","3554",,
Sweden,"2004-07-04",NA,,
Uruguay,"2008-12-28","71",,
Australia,"2007-12-16","152",,
Norway,"2006-11-05","23",,
Switzerland,"2008-04-20","19",,
Hungary,"2005-04-03","156",,
France,"2009-02-08","91",,
Japan,"2013-10-20","19",,
Japan,"2013-09-29","10",,
Switzerland,"2011-02-06","219",,
Chile,"2013-05-19","22",,
Belgium,"2008-12-07","149",,
Brazil,"2003-09-07","246","0.018",
South Africa,"2004-07-18",NA,,
Germany,"2015-04-19","579",,
Brazil,"2003-02-16","162","0.239",
Bulgaria,"2011-02-13","1269",,
Hungary,"2003-05-04",NA,,
Japan,"2010-01-03","350",,
Russia,"2011-02-20","1161",,
Hungary,"2006-12-31","108",,
Sweden,"2005-07-17",NA,,
Argentina,"2004-09-12","216","0.022",
Austria,"2008-07-27","422",,
France,"2006-03-26","34",,
Brazil,"2004-08-15","304","0.018",
Chile,"2010-03-21","3",,
Hungary,"2014-12-07","67",,
Russia,"2009-08-30","310",,
Australia,"2009-03-29","227",,
Japan,"2014-06-08","12",,
Bolivia,"2011-11-06","191","0.017",
South Africa,"2007-09-23","2801",,
Argentina,"2012-04-22","98","0.034",
Mexico,"2006-03-12","1088","0.049",
Mexico,"2004-04-25","828","0.044",
South Africa,"2011-10-09","2359",,
New Zealand,"2011-10-02","50",,
Chile,"2014-01-12","3",,
Australia,"2013-07-14","528",,
South Africa,"2007-07-15","3665",,
Belgium,"2012-08-05","13",,
Poland,"2015-05-17","19",,
Peru,"2011-06-05","167",,
Ukraine,"2011-02-06","580",,
Chile,"2010-09-26","48",,
Brazil,"2007-12-02","196","0.123",
United States,"2014-11-02","1374",,
Hungary,"2012-05-27","33",,
Ukraine,"2008-04-20","281",,
Netherlands,"2004-08-15","13",,
Germany,"2009-09-06","564",,
Ukraine,"2011-04-10","307",,
Netherlands,"2003-09-07",NA,,
New Zealand,"2009-09-20","43",,
Russia,"2004-01-11",NA,,
Chile,"2012-09-23","11",,
Uruguay,"2014-04-27","103",,
United States,"2006-05-14","939",,
Germany,"2005-01-30","1417",,
Netherlands,"2003-02-16",NA,,
Spain,"2012-10-14","35",,
France,"2010-05-16","7",,
Bulgaria,"2010-08-01","247",,
Sweden,"2003-01-26",NA,,
Chile,"2008-08-03","5",,
Mexico,"2015-07-26","992","0.273",
Norway,"2004-06-13",NA,,
Bolivia,"2013-01-20","111","0.015",
Poland,"2009-10-11","50",,
Romania,"2004-04-11","686",,
Paraguay,"2011-08-07","186",,
Brazil,"2011-06-26","195","0.089",
Norway,"2009-08-02","135",,
Bolivia,"2008-11-23","252","0.036",
Russia,"2013-12-29","596",,
Mexico,"2011-05-08","675","0.075",
Paraguay,"2006-11-26","242",,
Japan,"2012-07-22","9",,
Argentina,"2009-11-15","117","0.427",
Mexico,"2004-05-30","707","0.071",
Romania,"2015-05-03","615",,
France,"2010-09-12","16",,
Mexico,"2010-07-18","713","0.279",
Ukraine,"2011-08-28","307",,
Poland,"2007-04-08","51",,
Brazil,"2003-09-28","243","0.016",
New Zealand,"2015-06-14","29",,
Canada,"2010-02-14","1717",,
Spain,"2013-11-10","23",,
Bolivia,"2013-09-15","203","0.007",
France,"2006-01-08","106",,
Hungary,"2010-10-24","57",,
Bolivia,"2003-08-10","557","0.019",
France,"2011-12-25","71",,
Netherlands,"2011-06-26","11",,
Switzerland,"2011-08-28","4",,
Australia,"2008-01-13","108",,
Poland,"2007-11-18","45",,
Poland,"2005-06-05","22",,
Belgium,"2011-09-25","40",,
Austria,"2011-03-06","940",,
Spain,"2004-01-25","19",,
Chile,"2014-01-05","3",,
Mexico,"2015-01-25","2048","0.099",
Peru,"2006-10-08","326",,
Austria,"2003-06-15",NA,,
Chile,"2009-08-09","8",,
South Africa,"2015-02-01","2470",,
Netherlands,"2003-09-28",NA,,
New Zealand,"2014-01-26","10",,
Norway,"2007-01-07","39",,
Bulgaria,"2005-12-25","1105",,
Germany,"2008-10-19","942",,
Russia,"2010-07-25","214",,
Chile,"2007-03-11","4",,
Hungary,"2010-11-14","50",,
Bolivia,"2009-05-31","342","0.084",
Australia,"2004-09-19",NA,,
Austria,"2009-12-06","1074",,
Bolivia,"2005-04-17","396","0.068",
Peru,"2004-05-02","380",,
Bolivia,"2003-10-26","366","0.035",
South Africa,"2005-01-02",NA,,
Sweden,"2012-02-26","34",,
Germany,"2003-07-13",NA,,
Russia,"2007-05-20","221",,
Argentina,"2012-09-02","166","0.029",
Chile,"2014-04-06","14",,
United States,"2011-05-01","1013",,
South Africa,"2004-11-14",NA,,
Canada,"2010-12-26","3816",,
Bolivia,"2003-06-29","506","0.038",
Norway,"2014-08-24","60",,
Spain,"2012-01-15","49",,
Canada,"2005-03-20","2438",,
Uruguay,"2006-06-04","158",,
Australia,"2012-05-06","343",,
Spain,"2008-07-13","7",,
New Zealand,"2013-04-07","27",,
Belgium,"2015-07-19","10",,
Romania,"2013-06-30","507",,
Japan,"2005-12-25","258",,
United States,"2003-07-06",NA,,
Russia,"2008-11-09","444",,
Bolivia,"2010-01-17","129","0.019",
Uruguay,"2007-05-06","109",,
Spain,"2006-05-28","19",,
Spain,"2014-06-01","17",,
Brazil,"2007-06-03","362","0.146",
Argentina,"2012-05-20","143","0.034",
Paraguay,"2007-10-14","233",,
Bolivia,"2013-03-03","167","0.018",
Russia,"2005-02-27","348",,
Peru,"2008-01-20","170",,
Belgium,"2013-04-28","38",,
Romania,"2009-11-08","1034",,
Russia,"2014-05-25","358",,
Peru,"2009-03-08","169",,
Switzerland,"2010-06-20","6",,
New Zealand,"2009-04-26","35",,
Argentina,"2009-01-18","90","0.017",
South Africa,"2010-07-11","3281",,
Paraguay,"2009-11-22","153",,
Hungary,"2003-12-07",NA,,
Brazil,"2009-10-18","175","0.074",
France,"2008-02-10","298",,
New Zealand,"2006-02-26","21",,
New Zealand,"2003-06-01",NA,,
South Africa,"2012-11-04","2284",,
Australia,"2012-08-19","1270",,
New Zealand,"2011-12-18","15",,
Belgium,"2009-02-15","243",,
Netherlands,"2003-03-30",NA,,
Belgium,"2014-04-20","41",,
Poland,"2013-05-12","17",,
Hungary,"2003-05-25",NA,,
Uruguay,"2014-11-23","83",,
Bulgaria,"2012-07-22","117",,
Peru,"2005-05-22","419",,
Chile,"2006-09-24","5",,
Sweden,"2007-04-29","1",,
France,"2008-06-15","9",,
Poland,"2008-04-13","49",,
Peru,"2004-09-05","421",,
New Zealand,"2004-06-06",NA,,
Netherlands,"2007-06-03","17",,
Argentina,"2008-11-02","154","0.029",
United States,"2010-05-23","989",,
France,"2013-12-15","80",,
Chile,"2009-01-25","2",,
Ukraine,"2010-06-20","187",,
South Africa,"2011-03-27","2101",,
Argentina,"2003-04-06","187","0.036",
Chile,"2012-03-25","6",,
Belgium,"2011-11-13","82",,
Norway,"2010-01-24","45",,
Netherlands,"2009-10-18","71",,
Mexico,"2003-09-21",NA,"0.124",
Japan,"2010-08-01","3",,
Romania,"2013-02-24","971",,
Chile,"2008-06-29","7",,
Argentina,"2013-06-23","238","0.051",
Mexico,"2006-05-07","869","0.049",
Russia,"2005-11-27","341",,
Brazil,"2003-03-30","262","0.176",
Russia,"2011-06-19","157",,
Uruguay,"2015-02-08","80",,
Uruguay,"2004-05-16","163",,
Mexico,"2010-08-08","763","0.287",
Uruguay,"2015-07-12","215",,
Mexico,"2014-10-19","1330","0.468",
Brazil,"2014-08-17","217","0.055",
Austria,"2006-07-30","374",,
Peru,"2005-02-06","207",,
Russia,"2004-02-08",NA,,
Norway,"2007-06-17","13",,
Norway,"2013-11-24","54",,
Belgium,"2014-05-11","40",,
